Passive Name	Passive Effect
Power Up	+1 Attack
Thick Hide	+1 Defense
Focused	+1 Special Attack
Vigilant	+1 Special Defense
Nimble	+1 Speed
Mighty	+2 Attack
Fortified	+2 Defense
Amplified	+2 Special Attack
Invulnerable	+2 Special Defense
Volant	+2 Speed
Adaptability	Your moves that are the same type as you deal +4 damage.
Aerilate	Normal-type moves performed by you are treated as Flying-type moves.
Aftermath	When knocked out by a melee attack, the attacker loses 1d20 HP.
Analytic	When attacking a foe who has already acted this round, deal +4 damage.
Anger Point	When hit by a critical hit, you get Attack▲ (Max▲▲).
Anger Shell	While you are below 15 HP, your attacks deal +4 damage.
Armor Tail	You are immune to damage from Priority attacks that are used out of turn order during combat.
Aroma Veil	You and your allies within 10ft of you are immune to the effects of the moves Heal Block, Taunt, Encore, and Disable and the passive Cursed Body.
Battery	Allies within 15ft of you deal +4 damage with Special moves.
Battle Armor	Critical hits are treated as normal hits against you.
Berserk	While below half HP, your Special moves deal +4 damage.
Big Pecks	Foes cannot give you Defense▼.
"
Blaze"	When you are below 20 HP, your Fire-type attacks deal +4 damage.
Cheek Pouch	Whenever you consume a berry, you recover 10 HP in addition to any other effects.
Chlorophyll	While in Sunny Weather , you get Speed▲ at the start of your turn.
Clear Body	Foes cannot give you ▼.
Cloud Nine	As a free action you may deplete one use of Defog and use Defog.
Color Change	After you are attacked, gain a Type Coat  of the attacking move's type.
Comatose	You are always Drowsy but can still act as if you aren’t. You are immune to other afflictions.
Commander	Tatsugiri can enter or leave an adjacent allied Dondozo's mouth as a free action to enter Stance: While inside a Dondozo’s mouth, Tatsugiri is completely removed from play and cannot act. Dondozo may use any of the Tatsugiri’s moves. Dondozo chooses and gets two of the following at the beginning of Dondozo’s turn: Attack▲, SpAttack▲, Defense▲, SpDefense▲, or Speed▲. When Dondozo is knocked out, leaves this Stance or put into a Poké Ball, Tatsugiri is released adjacent. If Tatsugiri leaves Dondozo, Dondozo loses all of its ▲, regardless of source.
Competitive	If a foe gives you any ▼, you get SpAttack▲▲.
Compound Eyes	Add +1 Accuracy whenever you use a ranged attack.
Corrosion	You can inflict Poisoned and  Toxified to Steel-types and Poison-types.
Costar	The first time an ally gets ▲ during combat, copy that ▲.
Cud Chew	When you consume a berry, its effect will activate a second time at the start of your next turn.
Curious Medicine	Foes cannot give you and your adjacent allies ▼.
Cursed Body	When you are hit by a foe’s melee attack, Disable that attack until you are hit by a different melee attack. That newest attack is Disabled.
Cute Charm	Whenever you are hit with a melee attack, roll 1d4. On 4, Entrance the attacker.
Damp	Chloroblast, Explosion, Misty Explosion, and Self- Destruct fail to do anything if used within 50ft of you.
Dazzling	You may not be targeted by Priority moves that are being used out of turn order.
Defeatist	When you have 15 HP or less, you get Attack▼ and SpAttack▼.
Defiant	If a foe gives you any ▼, you get Attack▲▲.
Disguise	The first time you are hit with an attack each encounter, the attack is negated.
Download	When you hit an enemy with a move, you may Download them. You have +2 Accuracy against your most recently Downloaded enemy.
Drizzle	As a free action you may deplete one use of Rain Dance and use Rain Dance.
Drought	As a free action you may deplete one use of Sunny Day and use Sunny Day.
Dry Skin	In Sunny Weather, you lose 4 HP at the end of your turn. In Rainy Weather, you recover 4 HP at the end of your turn. You are immune to Water-type moves.
